id,hautpflege_haeufigkeit,produkt_sonnenschutz,produkt_duschgel,produkt_seife,produkt_gesichtsreinigung,produkt_gesichtscreme,produkt_lotion,produkt_deo,produkt_bodyspray,medien_podcasts,medien_tv,medien_socialmedia,medien_internet,medien_print,nutzen_sensitiv,nutzen_duft,nutzen_medizinisch,nutzen_lfs,nutzen_reinigend,nutzen_feuchtigkeit,eigenschaft_nachhaltig,eigenschaft_natürlich,eigenschaft_vegan,eigenschaft_mikroplastik,eigenschaft_marke,eigenschaft_günstig,kauf_frequenz,kauf_budget,kauf_ort,ex_nutzen,ex_herstellung,anker,kauf,zahlungsbereitschaft,geschlecht,alter,erwerbsstatus,einkommen
890,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",6,6,6,4,3,3,5,5,3,6,6,5,seltener,weniger als 10 Euro,Supermarkt,1,0,1,Nein,18,weiblich,27,Erwerbstätigkeit,
891,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",6,6,6,6,6,6,6,6,6,6,6,6,seltener,0 Euro,Supermarkt,1,0,0,Ja,13,weiblich,21,Erwerbstätigkeit,2300
892,,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,5,4,5,6,4,4,4,4,4,6,6,seltener,0 Euro,Supermarkt,1,0,0,Nein,7,weiblich,20,Erwerbstätigkeit,3400
893,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",6,6,6,6,6,6,6,6,6,6,6,6,einmal im Monat,weniger als 10 Euro,Supermarkt,1,0,0,Ja,18,weiblich,28,Erwerbstätigkeit,2300
894,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt",,4,5,5,4,3,6,5,4,6,5,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,1,1,0,Ja,24,weiblich,26,Studium,400
895,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst",3,6,4,4,,4,6,,6,6,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,1,Nein,19,weiblich,32,Sonstiges,1100
896,seltener,"ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,5,4,5,3,1,4,3,3,4,4,6,seltener,0 Euro,Supermarkt,0,0,0,Nein,10,männlich,,Studium,700
897,,"ja, manchmal","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",5,3,2,2,3,5,4,3,2,3,3,2,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,0,0,1,Nein,15,divers,20,Sonstiges,2600
898,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",6,6,6,6,6,6,6,6,6,6,6,6,seltener,0 Euro,Supermarkt,1,0,0,Nein,8,weiblich,,,700
899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,3,5,4,,4,3,4,3,4,4,einmal im Monat,weniger als 10 Euro,,0,0,0,Nein,,männlich,26,Sonstiges,400
901,seltener,"nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","ja, manchmal","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,3,3,4,4,4,4,3,3,4,4,4,nie,,Supermarkt,0,0,0,Nein,6,männlich,27,Erwerbstätigkeit,2200
902,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",5,,6,6,6,4,6,5,6,6,6,6,seltener,weniger als 10 Euro,Supermarkt,1,1,0,Ja,21,weiblich,21,Erwerbstätigkeit,2200
903,täglich,,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,4,5,6,5,5,4,4,4,5,5,6,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,1,0,0,Nein,12,,28,Erwerbstätigkeit,2200
904,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt",4,5,5,5,4,4,6,5,6,5,5,4,wöchentlich,25 Euro bis weniger als 50 Euro,Online_Handel,1,0,1,Nein,18,weiblich,24,Studium,
905,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",,4,4,3,6,3,4,4,4,3,3,4,5,nie,weniger als 10 Euro,Supermarkt,1,0,1,Nein,15,weiblich,26,Studium,300
906,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,,3,1,1,1,3,3,2,2,3,1,nie,,Supermarkt,0,1,1,Nein,14,weiblich,21,Erwerbstätigkeit,2500
907,,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",6,6,6,6,6,2,6,6,6,6,6,6,,weniger als 10 Euro,Supermarkt,1,0,1,Nein,18,weiblich,26,Studium,500
908,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,5,5,6,4,4,4,4,5,4,3,3,mehrmals im Monat,25 Euro bis weniger als 50 Euro,Supermarkt,1,0,0,Ja,17,weiblich,22,Studium,800
909,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",,6,6,6,6,6,6,6,4,6,6,6,6,einmal im Monat,weniger als 10 Euro,Supermarkt,1,1,1,Ja,32,weiblich,34,Studium,600
910,nie,,,,,,,,,"nein, nicht bewusst",,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,6,4,6,5,3,6,4,4,3,6,6,nie,,Supermarkt,1,0,1,Nein,10,männlich,31,Ausbildung,800
911,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",4,4,5,5,4,4,3,5,5,5,5,5,seltener,weniger als 10 Euro,Supermarkt,1,1,1,Ja,31,männlich,17,Ausbildung,600
912,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",6,6,6,6,6,4,6,,6,5,6,6,seltener,weniger als 10 Euro,Supermarkt,0,1,0,Ja,17,,17,Ausbildung,500
913,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst",4,5,5,4,4,3,4,4,4,3,4,4,mehrmals im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,0,Ja,28,männlich,20,Studium,300
914,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig",4,3,3,5,5,4,4,4,4,,3,3,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,0,Nein,11,weiblich,22,Sonstiges,1700
915,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,5,6,6,6,4,6,6,5,6,6,6,seltener,0 Euro,Supermarkt,1,0,1,Nein,18,männlich,31,Ausbildung,
916,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",6,6,4,6,6,6,5,4,4,6,5,6,seltener,,Supermarkt,0,1,1,Nein,17,männlich,31,Erwerbstätigkeit,2200
917,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt",3,4,5,4,4,3,4,3,5,5,4,5,seltener,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,23,weiblich,27,Sonstiges,600
918,mehrmals wöchentlich,"nein, nie","ja, manchmal","ja, manchmal","nein, nie","ja, manchmal","nein, nie","ja, manchmal",,"nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt",4,4,3,5,4,4,4,3,4,3,4,4,seltener,weniger als 10 Euro,Supermarkt,0,0,0,Nein,6,männlich,17,Ausbildung,800
919,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",4,5,3,6,6,4,4,6,6,4,5,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Drogerien,0,0,1,Nein,11,weiblich,28,Erwerbstätigkeit,3100
920,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nie","nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",4,6,3,6,3,3,6,3,5,4,6,6,seltener,weniger als 10 Euro,Supermarkt,1,1,0,Ja,19,männlich,17,Ausbildung,500
921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",,6,6,4,6,6,4,6,4,6,6,6,einmal im Monat,,Supermarkt,1,1,1,Nein,21,männlich,32,Studium,600
923,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt",,3,4,4,4,4,3,4,3,3,3,3,3,seltener,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,0,0,Nein,3,weiblich,27,Sonstiges,1000
924,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",6,6,6,6,6,6,6,3,3,,3,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,0,0,Nein,12,weiblich,30,Studium,600
925,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,5,4,6,4,4,5,3,3,4,5,6,einmal im Monat,weniger als 10 Euro,Drogerien,0,1,1,Nein,9,,24,Studium,
926,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,6,6,6,6,3,4,4,6,6,6,6,nie,0 Euro,Supermarkt,1,1,0,Ja,,männlich,33,Studium,
927,,"nein, nie","ja, manchmal","nein, nie","nein, nie","nein, nie","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",4,4,3,4,3,4,4,4,3,2,4,3,seltener,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,0,Ja,20,weiblich,27,Sonstiges,1400
928,,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst",,,"nein, nicht bewusst","nein, nicht bewusst",6,6,6,6,6,2,6,6,6,6,6,6,nie,0 Euro,Supermarkt,0,0,0,Nein,6,,,Erwerbstätigkeit,3200
929,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",1,4,4,4,4,4,5,3,4,3,1,2,seltener,weniger als 10 Euro,Supermarkt,1,0,1,Nein,17,männlich,21,Ausbildung,600
930,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, regelmäßig","nein, nicht bewusst",3,4,6,6,6,2,4,5,6,5,6,6,seltener,weniger als 10 Euro,Supermarkt,0,0,0,Ja,13,weiblich,20,Studium,300
931,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, regelmäßig",2,6,6,6,6,2,,6,6,5,6,6,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,0,1,1,Nein,16,weiblich,25,Studium,300
932,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","nein, nicht bewusst","ja, vereinzelt",3,5,4,4,4,4,3,4,4,3,3,3,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,1,Nein,16,männlich,27,Sonstiges,400
933,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst",5,6,4,6,6,4,6,6,5,6,6,,nie,0 Euro,Supermarkt,1,0,0,Nein,7,weiblich,27,Erwerbstätigkeit,3300
934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,,"nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig",,"nein, nicht bewusst",1,2,2,1,1,1,1,2,2,1,2,2,seltener,25 Euro bis weniger als 50 Euro,Supermarkt,1,1,0,Ja,27,weiblich,21,Ausbildung,
936,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt",,3,5,4,6,5,3,4,4,4,4,4,4,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,1,Nein,22,weiblich,27,Studium,100
937,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",4,4,4,,4,4,4,5,5,5,5,4,,weniger als 10 Euro,,1,1,0,Ja,20,weiblich,33,Studium,400
938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,mehrmals wöchentlich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",,4,6,5,6,6,3,6,6,4,4,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,0,Ja,26,weiblich,24,Studium,900
940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,nie,,,,,,,,,"nein, nicht bewusst",,"nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",4,3,3,4,3,3,3,3,3,3,4,,seltener,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,1,0,Ja,16,weiblich,26,Studium,400
942,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst",,"nein, nicht bewusst","nein, nicht bewusst",4,4,4,3,2,3,4,4,4,3,4,3,seltener,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,1,1,Nein,17,weiblich,24,Ausbildung,600
943,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nie","nein, nie","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","nein, nicht bewusst","ja, vereinzelt",2,5,5,6,4,3,6,,2,5,4,3,nie,25 Euro bis weniger als 50 Euro,Apotheke oder spezialisierter Fachhandel,1,1,1,Nein,25,,22,Erwerbstätigkeit,3700
944,mehrmals wöchentlich,"nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",2,1,1,3,,1,1,4,2,2,1,2,nie,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,1,0,0,Ja,21,weiblich,26,Erwerbstätigkeit,4800
945,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",3,5,4,5,4,1,4,5,4,4,4,4,seltener,weniger als 10 Euro,Supermarkt,0,1,1,Nein,14,weiblich,29,Studium,600
946,täglich,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig","ja, vereinzelt","nein, nicht bewusst",3,3,4,5,5,3,4,3,5,5,4,4,seltener,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,20,weiblich,24,Sonstiges,1800
947,täglich,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, regelmäßig","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",5,5,5,4,6,5,4,4,5,2,6,6,mehrmals im Monat,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,1,1,0,Ja,25,weiblich,24,Studium,
948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,6,6,6,6,6,6,6,6,6,6,6,mehrmals im Monat,weniger als 10 Euro,Supermarkt,0,1,0,Nein,,männlich,24,Erwerbstätigkeit,1800
950,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, regelmäßig","ja, vereinzelt","ja, vereinzelt",3,5,5,6,6,3,5,6,5,4,6,6,einmal im Monat,10 Euro bis weniger als 25 Euro,Apotheke oder spezialisierter Fachhandel,0,0,1,Nein,,weiblich,23,Studium,400
951,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",5,4,6,6,,5,6,5,4,4,5,6,seltener,0 Euro,Supermarkt,1,1,1,Nein,26,männlich,22,Studium,700
952,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,6,6,6,6,6,4,6,5,6,5,5,einmal im Monat,,Supermarkt,1,1,1,Nein,21,männlich,33,Studium,200
953,nie,,,,,,,,,"nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","nein, nicht bewusst",3,4,5,4,5,1,4,3,5,4,3,2,seltener,10 Euro bis weniger als 25 Euro,Supermarkt,1,1,1,Nein,26,weiblich,,Erwerbstätigkeit,
954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",3,4,4,3,4,5,4,2,5,4,3,3,seltener,10 Euro bis weniger als 25 Euro,Supermarkt,0,1,1,Nein,13,weiblich,18,Studium,700
956,mehrmals wöchentlich,"ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, manchmal","ja, sehr regelmäßig","nein, nie","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig",,"nein, nicht bewusst",4,4,4,4,4,3,3,,4,4,2,3,einmal im Monat,10 Euro bis weniger als 25 Euro,Supermarkt,0,0,1,Nein,7,weiblich,29,Erwerbstätigkeit,4200
957,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","ja, vereinzelt","ja, vereinzelt","ja, vereinzelt",5,5,6,4,4,3,5,4,4,4,5,5,einmal im Monat,weniger als 10 Euro,Supermarkt,0,1,0,Ja,13,divers,24,Studium,
958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,mehrmals wöchentlich,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nie","ja, manchmal","ja, manchmal","ja, manchmal","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","ja, regelmäßig",4,3,6,,4,3,3,4,4,4,4,4,seltener,10 Euro bis weniger als 25 Euro,,1,0,1,Nein,21,weiblich,22,Erwerbstätigkeit,3300
960,seltener,"ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, sehr regelmäßig","ja, manchmal","ja, manchmal","nein, nie","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",,"nein, nicht bewusst",4,1,3,4,3,3,4,4,4,3,4,4,wöchentlich,50 Euro bis weniger als 100 Euro,Apotheke oder spezialisierter Fachhandel,1,1,1,Nein,23,weiblich,19,Ausbildung,800
961,mehrmals wöchentlich,"nein, nie","ja, sehr regelmäßig","ja, sehr regelmäßig","nein, nie","ja, manchmal","ja, manchmal","ja, sehr regelmäßig",,"ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig","ja, regelmäßig",3,3,3,4,5,5,4,3,4,4,5,3,,100 Euro oder mehr,Apotheke oder spezialisierter Fachhandel,1,0,1,Ja,28,weiblich,28,Erwerbstätigkeit,3000
962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,seltener,"ja, manchmal","ja, sehr regelmäßig","ja, sehr regelmäßig","ja, sehr regelmäßig",,"ja, manchmal","ja, sehr regelmäßig","ja, manchmal","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst","nein, nicht bewusst",5,6,6,6,6,4,6,6,6,6,6,6,seltener,0 Euro,Supermarkt,1,0,1,Nein,10,männlich,29,Erwerbstätigkeit,3700
